MPID,Atomic number,Atomic weight,Density,Electronegativity,Lattice constant,Polarizability,Heat of formation,Heat of Fusion,Heat of Vaporization
704197,10.92307692,23.05919415,1.855384615,2.770769231,6.085384615,39.04807692,277.2624615,2.369230769,75.2
27146,32.76923077,75.17468492,3.461538462,2.141538462,7.956153846,85.35384615,242.3684615,7.162307692,76.22307692
650741,17.76923077,38.68911538,4.095115385,2.956923077,5.626923077,27.35,341.5920385,6.732307692,159.6692308
29985,22,47.61262385,3.138230769,2.716153846,5.455769231,39.59663462,263.9245385,10.98,177.5303846
762479,10.57692308,21.85515569,1.957230769,2.778076923,6.04,33.19759615,268.3870769,1.696538462,63.35384615
25740,16.23076923,34.97190554,3.642461538,2.886153846,5.417692308,20.56923077,298.3793846,2.803076923,94.16153846
566876,10.92307692,22.45002538,1.770076923,3.006153846,7.066923077,14.66923077,267.3739231,0.917692308,27.8
763870,9.538461538,19.98239138,2.156230769,2.633846154,6.131538462,40.30192308,312.5802308,1.813846154,56.07692308
636571,16.23076923,34.97190554,3.642461538,2.886153846,5.417692308,20.56923077,298.3793846,2.803076923,94.16153846
570040,6.769230769,13.69984615,1.764,2.45,3.883769231,11.34888846,431.1909231,1.077307692,24.88692308
25697,10.92307692,22.45002538,1.770076923,3.006153846,7.066923077,14.66923077,267.3739231,0.917692308,27.8
649654,11.23076923,22.93467692,1.649769231,2.966923077,6.973846154,35.63076923,261.6846923,8.727692308,36.48692308
32495,10.23076923,21.28936723,1.753692308,2.755,6.057307692,36.08221154,279.9255385,2.123461538,77.2
560464,32.46153846,79.22930077,4.955538462,2.847692308,5.639230769,26.72307692,252.6486154,3.772307692,64.10769231
779920,26.76923077,63.55161538,4.980076923,2.827692308,5.774615385,38.43846154,364.6200769,4.538461538,187.3076923
32463,10.23076923,21.28936723,1.753692308,2.755,6.057307692,36.08221154,279.9255385,2.123461538,77.2
763450,10.23076923,21.28936723,1.753692308,2.755,6.057307692,36.08221154,279.9255385,2.123461538,77.2
763522,10.23076923,21.28936723,1.753692308,2.755,6.057307692,36.08221154,279.9255385,2.123461538,77.2
24405,18.30769231,40.79765385,3.040569231,2.753461538,5.765769231,24.31229269,247.0358846,7.555653846,77.31938462
505138,32.61538462,74.9482,4.740923077,2.256923077,4.457692308,68.81076923,217.4307692,21.11846154,74.92769231
19504,16.92307692,37.31295292,3.285538462,2.725384615,5.44,46.03076923,312.1024615,5.047692308,140.9384615
