MPID,min emittance
23209.0,0.9
35208.0,1.0
35035.0,0.9
38222.0,1.2
568662.0,0.9
37381.0,1.0
570259.0,0.2
23210.0,0.2
38194.0,1.2
644272.0,1.0
1029.0,0.2
981.0,0.2
644385.0,0.9
2741.0,0.3
864783.0,1.1
997182.0,2.1
861950.0,1.1
865713.0,0.7
13119.0,0.1
632176.0,1.0
1007652.0,0.1
1018059.0,0.1
1018019.0,inf
8936.0,1.1
867193.0,1.0
578606.0,1.1
8860.0,0.1
966800.0,0.1
864908.0,0.1
1018032.0,0.1
569304.0,0.6
22691.0,0.2
12779.0,0.1
631316.0,0.7
685146.0,inf
1018095.0,0.1
157.0,0.1
19963.0,0.1
867912.0,0.9
999052.0,0.4
10648.0,0.1
983598.0,1.0
568516.0,0.1
13314.0,0.7
866056.0,0.1
999540.0,0.1
380.0,0.1
1001790.0,1.7
1070.0,0.1
8884.0,0.1
867311.0,0.9
1018041.0,0.4
865800.0,1.1
504711.0,0.1
15724.0,0.1
1018009.0,1.0
977410.0,0.1
978852.0,0.1
996988.0,1.7
1018100.0,0.1
975275.0,0.1
1018094.0,0.1
20162.0,0.7
974949.0,0.9
16238.0,0.1
998980.0,0.1
8882.0,0.1
1007922.0,0.3
672.0,0.1
866229.0,1.0
8881.0,0.1
675402.0,0.7
981547.0,0.2
866062.0,0.1
990424.0,2.1
971712.0,0.1
23202.0,1.2
635413.0,0.1
976148.0,0.1
1933.0,1.6
10159.0,0.1
581024.0,0.1
804.0,0.1
1018091.0,0.1
22660.0,0.2
554310.0,0.1
978847.0,0.1
569346.0,0.1
1039.0,0.1
677241.0,0.2
9382.0,0.8
20930.0,0.2
560588.0,inf
999200.0,0.3
765869.0,0.2
2793.0,1.3
1018090.0,0.7
2168.0,0.3
867169.0,1.0
2133.0,0.1
996995.0,0.7
675180.0,0.1
9383.0,1.0
559676.0,1.5
29643.0,0.5
865101.0,0.1
23222.0,0.1
1018040.0,0.1
9146.0,0.2
568177.0,0.6
755552.0,0.2
9158.0,1.3
753287.0,0.2
19128.0,0.1
866132.0,0.8
22894.0,0.1
866141.0,0.2
2097.0,0.1
979137.0,0.1
570081.0,0.2
